anchor,candidate,label,confidence,gloss_anchor,gloss_candidate,cue,phon_sim,observed_confusions,freq_anchor,risk
खेती,क्षति,DIFF_MEANING,0.9,farming/agriculture,damage/loss,'फसल में क्षति' (crop damage) vs 'खेती करना' (to farm),0.72,9,10,17.03
खेती,खाती,DIFF_MEANING,0.75,farming/agriculture,"eats (verb, from खाना) / caste name",'कीड़ा पत्ता खाती है' (eats) vs 'खेती करना' (to farm),0.9,2,11,12.95
खेती,एथी,UNRELATED,0.85,farming/agriculture,not a standard Hindi word / ASR garbage,,0.75,1,14,9.12
खेती,खेतारी,UNRELATED,0.65,farming/agriculture,not a recognized standard word / likely ASR garbling,,0.75,1,6,8.49
खेती,खेसारी,DIFF_MEANING,0.85,farming/agriculture,"khesari dal (Lathyrus, a pulse crop)","mention of dal/pulse sowing implies खेसारी, general farming context implies खेती",0.583,1,13624,8.36
खेती,केतारी,UNRELATED,0.65,farming/agriculture,not a recognized standard word / likely ASR garbling,,0.75,1,5,8.35
खेती,कटिंग,DIFF_MEANING,0.8,farming/agriculture,cutting/pruning (loanword),'पौधे की कटिंग' (pruning/cutting) vs general 'खेती' (farming),0.683,1,14,8.31
खेती,खीरा,DIFF_MEANING,0.85,farming/agriculture,cucumber,"'खीरा उगाना' (growing cucumber) refers to specific crop, not general farming",0.5,1,479,7.85
खेती,कीट,DIFF_MEANING,0.85,farming/agriculture,insect/pest,'कीट लगना' (pest infestation) vs 'खेती करना' (to farm),0.775,0,873,6.31
खेती,कटाई,DIFF_MEANING,0.7,farming/agriculture (general activity),harvesting (specific activity),"'फसल की कटाई' (harvesting) is a specific stage, not general खेती (farming as a whole)",0.82,0,278,6.21
गेहूं,गेंहू,SAME_WORD,0.95,wheat,wheat (spelling variant with anusvara),,0.9,673,1173,202.16
गेहूं,गेम,DIFF_MEANING,0.8,wheat,game (English loanword),context of playing/sport vs crop sowing/harvest,0.625,81,8,36.54
गेहूं,गेहू,SAME_WORD,0.95,wheat,wheat (missing chandrabindu),,1.0,16,26,32.17
गेहूं,गेंहु,SAME_WORD,0.9,wheat,wheat (vowel-length variant),,0.9,7,10,19.55
गेहूं,गहु,SAME_WORD,0.75,wheat,wheat (truncated/colloquial spelling),,0.9,1,6,10.26
गेहूं,क्यों,DIFF_MEANING,0.7,wheat,why (interrogative word),"used in a question clause, not near sowing/crop nouns",0.525,5,11,10.2
गेहूं,गम,DIFF_MEANING,0.7,wheat,sorrow/gum (grief or resin),"emotional or resin context, not crop-related discussion",0.525,2,6,7.23
गेहूं,घेवड़ा,DIFF_MEANING,0.6,wheat,a type of gourd/vine plant,"used with vine/creeper cultivation terms, not wheat sowing/harvest",0.483,1,14861,6.56
गेहूं,घिऊड़ा,DIFF_MEANING,0.55,wheat,a local plant/tuber name,"appears with regional tuber/root crop context, not wheat",0.5,1,14861,6.39
गेहूं,घेवरा,DIFF_MEANING,0.55,wheat,variant of a gourd-type plant name,"used with vine/gourd cultivation, not wheat field context",0.483,1,14861,5.92
दवा,दवाई,SAME_MEANING,0.9,medicine/pesticide,medicine/pesticide (colloquial form),both refer to medicine or pesticide; interchangeable in most farmer speech,0.9,489,13832,184.79
दवा,दावा,DIFF_MEANING,0.85,medicine/pesticide,claim (legal/assertion),'दावा करना' (to make a claim) vs 'दवा देना/छिड़कना' (to give/spray medicine),1.0,335,13832,139.59
दवा,दबा,DIFF_MEANING,0.85,medicine/pesticide,pressed/suppressed (verb past form),"'दबा हुआ' (pressed down) refers to physical pressure, not treatment",1.0,38,10,42.42
दवा,दाना,DIFF_MEANING,0.85,medicine/pesticide,grain/seed,context of sowing/feeding grain vs treating disease,0.75,27,13832,35.77
दवा,दाम,DIFF_MEANING,0.85,medicine/pesticide,price/cost,context of price negotiation vs pest/disease treatment,0.775,15,13832,25.4
दवा,दवाइ,SAME_MEANING,0.8,medicine/pesticide,medicine (misspelled/short form of दवाई),"spelling variant of दवाई, same referent as दवा",0.9,6,13832,18.22
दवा,दवाएं,SAME_WORD,0.9,medicine/pesticide (singular),medicines/pesticides (plural),plural inflection of same noun दवा,0.9,4,13832,15.85
दवा,दो,DIFF_MEANING,0.7,medicine/pesticide,two (number),"numeral used in quantity context, e.g. 'दो किलो' vs 'दवा दो' (give medicine)",0.525,6,13832,12.87
दवा,जवाब,DIFF_MEANING,0.75,medicine/pesticide,answer/response,context of replying to a question vs administering treatment,0.6,4,16,11.08
दवा,दे,DIFF_MEANING,0.7,medicine/pesticide,give (verb),"verb 'दे' (give) often follows दवा as in 'दवा दे' but alone means 'give', not medicine",0.525,1,13832,7.77
दवाई,दवाएं,SAME_WORD,0.9,medicine/pesticide,medicines/pesticides (plural),,0.92,13,3757,22.12
दवाई,दवाइ,SAME_WORD,0.95,medicine/pesticide,medicine/pesticide (spelling variant),,1.0,3,9,14.26
दवाई,दबा,DIFF_MEANING,0.8,medicine/pesticide,pressed/suppressed (verb दबाना),context of applying pressure/hiding vs applying medicine to crop,0.9,4,10,14.23
दवाई,दवाइयां,SAME_WORD,0.9,medicine/pesticide,medicines (plural),,0.786,3,7,10.94
दवाई,दाल,DIFF_MEANING,0.9,medicine/pesticide,lentil/pulse crop,context of crop name vs spraying/treatment,0.6,2,3757,9.33
दवाई,जवाब,DIFF_MEANING,0.75,medicine/pesticide,answer/response,context of question-answer vs treatment/medicine,0.56,1,16,6.17
दवाई,दावा,DIFF_MEANING,0.85,medicine/pesticide,claim (e.g. insurance claim),context of insurance/claim vs medicine application,0.9,0,3757,5.92
दवाई,दाना,DIFF_MEANING,0.85,medicine/pesticide,grain/seed,context of seed/grain quality vs spraying medicine,0.7,0,3757,4.93
दवाई,धब्बा,DIFF_MEANING,0.85,medicine/pesticide,spot/stain (on leaf/fruit),context of disease spot on plant vs medicine name,0.9,0,3757,4.9
पौधा,पौधे,SAME_WORD,0.97,plant,plants (plural),,0.9,289,3915,125.4
पौधा,पौधों,SAME_WORD,0.95,plant,plants (oblique plural),,0.9,104,3915,69.36
पौधा,पत्ता,DIFF_MEANING,0.85,plant,leaf,"पत्ता refers to leaf spots/disease on leaves, पौधा refers to the whole plant",0.8,3,1807,17.24
पौधा,पेड़,DIFF_MEANING,0.85,young plant/seedling,tree,"पेड़ used for mature trees (mango, neem), पौधा for young crop plants",0.725,2,3577,14.4
पौधा,पैदा,DIFF_MEANING,0.8,plant,produced/born (verb),"पैदा appears in phrases like 'पैदा होना/करना' (to produce), not as a noun for plant",0.85,3,31,13.6
पौधा,पौध,SAME_WORD,0.85,plant,seedling/plant stock (root form),,0.875,4,5,12.99
पौधा,पाउडर,DIFF_MEANING,0.9,plant,powder (chemical/fertilizer),"पाउडर used with fertilizer/pesticide application context, not plant growth",0.683,3,49,11.36
पौधा,पहला,DIFF_MEANING,0.85,plant,first (ordinal),"पहला used for sequence like 'पहला पानी/छिड़काव', unrelated to plant noun",0.517,2,255,8.62
पौधा,पैदावार,DIFF_MEANING,0.9,plant,yield/produce quantity,"पैदावार discussed in context of harvest output/quantity, not the plant itself",0.557,1,387,7.93
पेड़,पैर,DIFF_MEANING,0.9,tree,foot/leg,"body-part context (foot pain, walking) vs. farm/orchard context",0.667,118,3577,46.08
पेड़,पौधे,SAME_MEANING,0.6,tree,plants/saplings,"both refer to growing vegetation; पौधे used for young plants, पेड़ for mature trees",0.725,3,3577,15.24
पेड़,पेट,DIFF_MEANING,0.9,tree,stomach/belly,health/digestion talk vs. field/orchard talk,0.867,3,42,14.12
पेड़,पेड़ों,SAME_WORD,0.97,tree,trees (oblique plural),,0.875,2,3577,12.01
पेड़,फल,DIFF_MEANING,0.9,tree,fruit,discussion of harvest/produce vs. the plant itself,0.533,3,3577,11.75
पेड़,पे,UNRELATED,0.85,tree,on/at (postposition),"grammatical particle, no real-world referent",0.667,6,6,11.48
पेड़,पत्ते,DIFF_MEANING,0.85,tree,leaves,talk of leaf disease/spots vs. whole tree,0.675,1,643,9.89
पेड़,पेड़ो,SAME_WORD,0.95,tree,trees (spelling variant of पेड़ों),,0.875,1,3577,8.58
पेड़,पर,UNRELATED,0.85,tree,on/but (postposition/conjunction),"grammatical particle, no real-world referent",0.533,5,5,8.46
आम,धान,DIFF_MEANING,0.9,mango,paddy/rice crop,"धान refers to rice cultivation context, आम refers to mango fruit/tree",0.533,15,4203,21.29
आम,काम,DIFF_MEANING,0.9,mango,work/task,"काम appears with verbs like करना (to do), आम appears with फल/पेड़ (fruit/tree)",0.667,13,4203,20.02
आम,आंख,DIFF_MEANING,0.9,mango,eye,"आंख used in health/body context, आम used in orchard/fruit context",0.533,19,12,15.49
