word,word_norm,phon,skeleton,n_tokens,frequency,relevance_mode,category_mode,n_mispronounced,n_meaning_changed,n_dropped,mispron_rate,meaning_change_rate,n_surface_forms,surface_forms,tier,n_variants_kept,variants
गेहूं,गेहूं,KeHu,KH,1,14861,4,crop,942,751,180,0.0634,0.0505,2,गेहूं | गेहूँ,core,20,गांव (82) | गेम (77) | गहूं (28) | हम (17) | होम (12) | जय हो (10) | गेंहू (8) | गोहुम (6) | गोहूम (6) | मुंह (5) | ग्रहों (5) | क्यों (5) | जीवन (5) | धान (5) | घर (4) | काफिर (1) | भांग (1) | रंग (1) | गेम ही (1) | उनके (1)
दवा,दवा,DaBa,DB,1,13832,3,activity_method,1107,675,170,0.08,0.0488,1,दवा,core,15,दावा (245) | दवाई (102) | दाव (63) | दबा (33) | दावत (28) | दाना (27) | दा (15) | दाम (14) | दबाव (10) | तवा (5) | दो (5) | जवाब (4) | खाद (4) | कुंदा (4) | धागा (3)
खेती,खेती,KeTi,KT,1,13624,3,activity_method,650,383,150,0.0477,0.0281,1,खेती,core,14,खेत (82) | क्षेत्र (14) | खेतों (9) | क्षति (9) | शक्ति (6) | प्रकृति (4) | छुट्टी (4) | सेफ्टी (4) | कृति (3) | सिटी (3) | खेत में (3) | फेटी (2) | छत (2) | खाती (2)
आलू,आलू,aLu,L,1,7081,4,crop,296,267,79,0.0418,0.0377,1,आलू,core,15,मालूम (11) | हेलो (9) | आलोक (8) | बालों (7) | चालू (4) | आज (4) | लोग (4) | आम (4) | भालू (4) | तालू (3) | आप लोग (3) | कालू (2) | आयुर्वेदिक (2) | आग (2) | मिचेल (2)
फसल,फसल,PaSaL,PSL,1,6597,3,crop,342,111,51,0.0518,0.0168,1,फसल,core,13,फल (7) | फसलों (4) | कौशल (2) | पशु (2) | पास (2) | पार्सल (2) | भाषा (2) | हसल (2) | सफल (2) | असल (2) | पत्ता (1) | पास चना (1) | समस्या (1)
उपाय,उपाय,uPaY,PY,1,5329,3,activity_method,338,248,127,0.0634,0.0465,1,उपाय,core,15,फायदा (7) | ऊपर (5) | उपचार (5) | क्या (5) | क्या करें (4) | होता (4) | दवाई (3) | रोपाई (3) | क्या बताएं (3) | कैसे (3) | का (3) | काहे (3) | पता (3) | बताएं (3) | उपज (3)
कीड़ा,कीडा,KiDa,KD,1,5246,4,concern,497,309,60,0.0947,0.0589,2,कीड़ा | कीडा,core,15,कीडे (41) | कीरा (39) | खीरा (37) | किला (11) | पीला (9) | गिरा (7) | क्या (7) | किया (6) | केला (4) | चिरा (4) | कीटनाशक (4) | क्रिया (4) | की (3) | तेरा (3) | किरण (3)
खाद,खाद,KaD,KD,1,4772,4,fertilizer_chemical,288,184,43,0.0604,0.0386,1,खाद,core,15,खाद्य (46) | खा (17) | खाना (5) | हाथ (4) | कार्ड (3) | खान (3) | खात (3) | खातिया (2) | खा लिया (2) | खाते (2) | खास (2) | दवा (2) | खाट (2) | आम (2) | खर (2)
आम,आम,aM,M,1,4203,4,crop,378,356,72,0.0899,0.0847,1,आम,core,14,हम (31) | आप (24) | आंख (19) | हां (16) | काम (12) | शाम (11) | ओम (11) | राम (11) | आंखों (8) | मैम (7) | धान (6) | अब (6) | अहम (5) | आलू (3)
पौधा,पौधा,PoDa,PD,1,3915,3,growth_stage,345,97,37,0.0881,0.0248,1,पौधा,core,15,पौधे (129) | पौधों (38) | पौध (3) | पाउडर (3) | का (3) | प्रधान (3) | प्रोग्राम (2) | पादप (2) | पेड (2) | फसल (2) | पोता (2) | पादा (2) | पैदा (2) | पहला (2) | प्रभाव (2)
